YEAR,PLAYERID,NAMElast,NAMEfirst,TEAM,LG,AVG,OBP,SLG,EXP,PAYR,MLAVG,MLOBP,MLSLG,AVGcumLag1,OBPcumLag1,SLGcumLag1,G,YRINDEX
1989,gantnji01,Gantner,Jim,ML4,AL,0.274,0.321,0.333,14,393,0.259,0.325,0.384,0.275,0.321,0.356,116,31
1996,gwynnto01,Gwynn,Tony,SDN,NL,0.353,0.4,0.441,15,509,0.276,0.347,0.438,0.336,0.388,0.449,116,38
1985,hatchmi01,Hatcher,Mickey,MIN,AL,0.282,0.308,0.365,7,299,0.262,0.329,0.4,0.282,0.314,0.385,116,27
1988,incavpe01,Incaviglia,Pete,TEX,AL,0.249,0.321,0.467,3,390,0.259,0.324,0.387,0.26,0.326,0.48,116,30
2000,kaplega01,Kapler,Gabe,TEX,AL,0.302,0.36,0.473,2,404,0.276,0.351,0.448,0.243,0.31,0.438,116,42
1975,maddoga01,Maddox,Garry,SFN->PHI,NL->NL,0.272,0.344,0.406,4,450,0.262,0.333,0.383,0.292,0.324,0.431,116,17
1975,matthga01,Matthews,Gary,SFN,NL,0.28,0.377,0.431,4,511,0.262,0.333,0.383,0.293,0.367,0.448,116,17
1975,mcbriba01,McBride,Bake,SLN,NL,0.3,0.354,0.404,3,380,0.262,0.333,0.383,0.309,0.368,0.389,116,17
1999,muellbi02,Mueller,Bill,SFN,NL,0.29,0.388,0.362,4,459,0.277,0.351,0.445,0.3,0.381,0.41,116,41
1996,naehrti01,Naehring,Tim,BOS,AL,0.288,0.363,0.444,7,267,0.276,0.347,0.438,0.278,0.363,0.401,116,38
2000,offerjo01,Offerman,Jose,BOS,AL,0.255,0.354,0.359,11,457,0.276,0.351,0.448,0.28,0.366,0.377,116,42
1977,stennre01,Stennett,Rennie,PIT,NL,0.336,0.376,0.43,7,434,0.268,0.334,0.409,0.277,0.305,0.371,116,19
2003,vazqura01,Vazquez,Ramon,SDN,NL,0.261,0.342,0.341,2,371,0.269,0.339,0.432,0.271,0.335,0.352,116,45
1967,adairje01,Adair,Jerry,CHA->BOS,AL->AL,0.271,0.302,0.338,7,425,0.251,0.317,0.373,0.257,0.295,0.364,117,9
1998,alomasa02,Alomar Jr.,Sandy,CLE,AL,0.235,0.27,0.352,9,303,0.271,0.341,0.43,0.28,0.32,0.426,117,40
